title,commentCount
The Hunger Games: Catching Fire,502
The Hobbit: The Desolation of Smaug,509
Captain America: The First Avenger,510
The Conjuring,511
Captain America: Civil War,516
Thor,516
Ant-Man,517
The Girl with the Dragon Tattoo,517
Star Trek,518
Dawn of the Planet of the Apes,521
Source Code,522
Oz the Great and Powerful,525
V for Vendetta,525
Dark Shadows,526
Rise of the Planet of the Apes,529
It Follows,533
Nightcrawler,534
Inside Llewyn Davis,535
Whiplash,535
Inside Out,536
The Grand Budapest Hotel,536
Lincoln,538
American Hustle,538
X-Men: Days of Future Past,539
Oblivion,539
Super 8,539
Silver Linings Playbook,539
Evil Dead,543
The Master,546
Boyhood,548
The Descendants,549
Life of Pi,552
The Revenant,556
The Social Network,556
Zero Dark Thirty,558
The Martian,568
Gone Girl,568
Her,574
Pacific Rim,575
Captain America: The Winter Soldier,576
Deadpool,579
The Tree of Life,584
Edge of Tomorrow,585
Birdman or (The Unexpected Virtue of Ignorance),588
Looper,589
Star Trek Into Darkness,590
The Hateful Eight,596
12 Years a Slave,597
The Amazing Spider-Man,599
The Wolf of Wall Street,606
Iron Man 3,608
The Cabin in the Woods,634
Avengers: Age of Ultron,635
Inception,642
Jurassic World,644
The Dark Knight,645
The Hobbit: An Unexpected Journey,645
Guardians of the Galaxy,653
World War Z,654
Argo,656
Beasts of the Southern Wild,663
Black Swan,669
Batman v Superman: Dawn of Justice,673
The Hunger Games,673
Drive,676
Hugo,682
The Avengers,703
Interstellar,712
Avatar,723
Man of Steel,733
Django Unchained,765
Prometheus,775
The Dark Knight Rises,813
