title,directorName
The Good Dinosaur,Peter Sohn
Iron Man,Jon Favreau
Iron Man 2,Jon Favreau
The Expendables,Sylvester Stallone
Oceans,Jacques Perrin
Star Trek: Insurrection,Jonathan Frakes
Ted 2,Seth MacFarlane
Ted,Seth MacFarlane
Absolute Power,Clint Eastwood
Blood Work,Clint Eastwood
Dick Tracy,Warren Beatty
Star Trek: First Contact,Jonathan Frakes
Animal Kingdom: Let's go Ape,Jamel Debbouze
A Million Ways to Die in the West,Seth MacFarlane
Against the Ropes,Charles S. Dutton
Obitaemyy ostrov,Fedor Bondarchuk
Reds,Warren Beatty
Million Dollar Baby,Clint Eastwood
Larry Crowne,Tom Hanks
Bulworth,Warren Beatty
The Boss,Ben Falcone
Winged Migration,Jacques Perrin
The Curse of the Jade Scorpion,Woody Allen
Gran Torino,Clint Eastwood
The True Story of Puss'N Boots,Jérôme Deschamps
Star Trek IV: The Voyage Home,Leonard Nimoy
Rocky Balboa,Sylvester Stallone
Return to Me,Bonnie Hunt
The Bridges of Madison County,Clint Eastwood
Firefox,Clint Eastwood
South Park: Bigger Longer & Uncut,Trey Parker
Tammy,Ben Falcone
Team America: World Police,Trey Parker
Capitalism: A Love Story,Michael Moore
Deconstructing Harry,Woody Allen
By the Sea,Angelina Jolie Pitt
Star Trek III: The Search for Spock,Leonard Nimoy
Small Time Crooks,Woody Allen
Anything Else,Woody Allen
Restoration,Zack Ward
Beerfest,Jay Chandrasekhar
Hollywood Ending,Woody Allen
Welcome to the Sticks,Dany Boon
Tootsie,Sydney Pollack
The Great Debaters,Denzel Washington
The Muse,Albert Brooks
New York Stories,Woody Allen
The Man with the Iron Fists,RZA
Unforgiven,Clint Eastwood
Jonah: A VeggieTales Movie,Mike Nawrocki
Faithful,Paul Mazursky
Antwone Fisher,Denzel Washington
Insidious: Chapter 3,Leigh Whannell
Kung Pow: Enter the Fist,Steve Oedekerk
The Brown Bunny,Vincent Gallo
Sicko,Michael Moore
Polisse,Maïwenn
Club Dread,Jay Chandrasekhar
Men with Brooms,Paul Gross
Pale Rider,Clint Eastwood
Mr. Nice Guy,Sammo Kam-Bo Hung
A Mighty Wind,Christopher Guest
Hedwig and the Angry Inch,John Cameron Mitchell
Don Jon,Joseph Gordon-Levitt
High Plains Drifter,Clint Eastwood
R100,Hitoshi Matsumoto
A Room for Romeo Brass,Shane Meadows
Instructions Not Included,Eugenio Derbez
Made,Jon Favreau
Annie Hall,Woody Allen
The Wash,DJ Pooh
Holy Motors,Leos Carax
Never Back Down 2: The Beatdown,Michael Jai White
Timecrimes,Nacho Vigalondo
"Fat, Sick & Nearly Dead",Joe Cross
2016: Obama's America,Dinesh D'Souza
That Thing You Do!,Tom Hanks
Sleeper,Woody Allen
Courageous,Alex Kendrick
Me and You and Everyone We Know,Miranda July
Waltz with Bashir,Ari Folman
Bananas,Woody Allen
Slacker Uprising,Michael Moore
ABCD (Any Body Can Dance),Remo
Caramel,Nadine Labaki
Buffalo '66,Vincent Gallo
I Want Someone to Eat Cheese With,Jeff Garlin
Me You and Five Bucks,Jaime Zevallos
Incident at Loch Ness,Zak Penn
The Blue Room,Mathieu Amalric
Trees Lounge,Steve Buscemi
Super Troopers,Jay Chandrasekhar
Reservoir Dogs,Quentin Tarantino
The Dead Undead,Matthew R. Anderson
The Vatican Exorcisms,Joe Marino
Orgazmo,Trey Parker
Ajami,Scandar Copti
Taxi to the Dark Side,Alex Gibney
Antarctica: A Year on Ice,Anthony Powell
The Jimmy Show,Frank Whaley
ZMD: Zombies of Mass Destruction,Kevin Hamedani
Black Rock,Katie Aselton
The Horror Network Vol. 1,Brian Dorton
Not Cool,Shane Dawson
Insomnia Manica,Daston Kalili
Rodeo Girl,Joel Paul Reisig
Straight Out of Brooklyn,Matty Rich
Poultrygeist: Night of the Chicken Dead,Lloyd Kaufman
Gory Gory Hallelujah,Sue Corcoran
Tarnation,Jonathan Caouette
Rust,Corbin Bernsen
Malevolence,Stevan Mena
Shooting the Warwicks,Adam Rifkin
Sweet Sweetback's Baadasssss Song,Melvin Van Peebles
A Charlie Brown Christmas,Bill Melendez
Roger & Me,Michael Moore
A Dog's Breakfast,David Hewlett
The Birth of a Nation,Nate Parker
Facing the Giants,Alex Kendrick
Hollywood Shuffle,Robert Townsend
The Dirties,Matt Johnson
Tiny Furniture,Lena Dunham
Funny Ha Ha,Andrew Bujalski
Dry Spell,Travis Legge
All Superheroes Must Die,Jason Trost
Primer,Shane Carruth
My Date with Drew,Jon Gunn
Space Cowboys,Clint Eastwood
Beyond the Sea,Kevin Spacey
Bowling for Columbine,Michael Moore
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Woody Allen
The Lost Skeleton of Cadavra,Larry Blamire
Mutual Appreciation,Andrew Bujalski
Slacker,Richard Linklater
